Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Total_Passengers_Est,Fatal_Injury_Rate,Serious_Injury_Rate,Severe_Injury_Rate,Is_Destroyed,Make_Model
20060113X00079,Accident,LAX06CA061,2005-12-19,"FALLON, NV",United States,39.5,-119,NONE,Dixie Valley,Non-Fatal,Substantial,Airplane,N3199H,BEECH,A36,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,Unknown,Fallon Airmotive,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,28-03-2006,3.0,0.0,0.0,0.0,False,BEECH_A36
20060113X00067,Accident,ANC06CA012,2005-12-19,"BREVIG MISSION, AK",United States,65.316667,-166.45,KTS,Brevig Mission,Non-Fatal,Substantial,Airplane,N303GV,CESSNA,208,No,1.0,Turbo Prop,Part 135: Air Taxi & Commuter,Unknown,"Hageland Aviation Services, Inc.",0.0,0.0,0.0,2.0,VMC,Taxi,Probable Cause,28-03-2006,2.0,0.0,0.0,0.0,False,CESSNA_208
20060109X00027,Accident,CHI06CA046,2005-12-20,"ALGONA, IA",United States,43.077778,-94.271945,,,Non-Fatal,Substantial,Airplane,N9292U,CESSNA,150M,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,0.0,0.0,2.0,0.0,IMC,Takeoff,Probable Cause,28-03-2006,2.0,0.0,0.0,0.0,False,CESSNA_150M
20060123X00117,Accident,ANC06CA013,2005-12-21,"SKWENTNA, AK",United States,62.033333,-151.784444,,,Non-Fatal,Substantial,Airplane,N237WT,PIPER,PA-18,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,25-04-2006,1.0,0.0,0.0,0.0,False,PIPER_PA-18
20060117X00084,Accident,MIA06CA034,2005-12-23,"HAINES CITY, FL",United States,28.131667,-81.660556,X07,Lake Wales Municipal,Non-Fatal,Substantial,Airplane,N8304S,CESSNA,182,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,28-03-2006,1.0,0.0,0.0,0.0,False,CESSNA_182
20060109X00028,Accident,CHI06CA053,2005-12-23,"MORRIS, IL",United States,41.425556,-88.418611,,,Non-Fatal,Substantial,Airplane,N723PG,CESSNA,172R,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,28-03-2006,3.0,0.0,0.0,0.0,False,CESSNA_172R
20060131X00134,Accident,DFW06CA043,2005-12-25,"SAN ANTONIO, TX",United States,29.746666,-98.450556,1T8,Bulverde Airpark,Non-Fatal,Substantial,Airplane,N40FJ,MOONEY,M20J,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,0.0,0.0,0.0,4.0,VMC,Takeoff,Probable Cause,25-04-2006,4.0,0.0,0.0,0.0,False,MOONEY_M20J
20051230X02037,Accident,CHI06CA052,2005-12-26,"PELICAN LAKE, WI",United States,45.631111,-89.4675,,,Non-Fatal,Substantial,Airplane,N6085M,CESSNA,152,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,28-03-2006,1.0,0.0,0.0,0.0,False,CESSNA_152
20060223X00226,Accident,DFW06CA070,2005-12-29,"EUREKA SPRINGS, AZ",United States,36.429723,-93.695555,5A5,Silver Wings Field,Non-Fatal,Substantial,Airplane,N2251L,BEECH,C23,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,30-05-2006,2.0,0.0,0.0,0.0,False,BEECH_C23
20060131X00137,Accident,DFW06CA047,2005-12-30,"YOAKUM, TX",United States,29.307778,-97.136389,T85,Yoakum Municipal Airport,Non-Fatal,Substantial,Airplane,N5765N,MOONEY,M20J,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,25-04-2006,1.0,0.0,0.0,0.0,False,MOONEY_M20J
20060119X00091,Accident,DFW06CA045,2005-12-31,"TULSA, OK",United States,36.192222,-95.886111,TUL,Tulsa International,Non-Fatal,Substantial,Airplane,N18132,CESSNA,150L,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,0.0,0.0,2.0,0.0,VMC,Approach,Probable Cause,25-04-2006,2.0,0.0,0.0,0.0,False,CESSNA_150L
20060130X00129,Accident,DEN06CA029,2005-12-31,"HOBBS, NM",United States,32.688333,-103.216667,HOB,LEA COUNTY/HOBBS/,Non-Fatal,Substantial,Airplane,N4755D,CESSNA,182A,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,0.0,2.0,0.0,0.0,VMC,Approach,Probable Cause,25-04-2006,2.0,0.0,1.0,1.0,False,CESSNA_182A
20060203X00161,Accident,LAX06CA079,2006-01-04,"RANCHO MURIETA, CA",United States,38.486944,-121.102222,RIU,RANCHO MURIETA,Non-Fatal,Substantial,Airplane,N49391,CESSNA,152,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,,0.0,0.0,0.0,2.0,VMC,Go-Around,Probable Cause,25-04-2006,2.0,0.0,0.0,0.0,False,CESSNA_152
20060209X00185,Accident,DEN06CA032,2006-01-07,"ULYSSES, KS",United States,37.603889,-101.373334,ULS,ULYSSES,Non-Fatal,Substantial,Airplane,N2912D,CESSNA,170B,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,0.0,0.0,1.0,1.0,VMC,Landing,Probable Cause,25-04-2006,2.0,0.0,0.0,0.0,False,CESSNA_170B
20060223X00227,Accident,DFW06CA051,2006-01-10,"ANTLERS, OK",United States,34.188889,-95.643055,,,Non-Fatal,Substantial,Airplane,N2233Y,CESSNA,177,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,0.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause,25-07-2007,1.0,0.0,0.0,0.0,False,CESSNA_177
20060120X00110,Accident,CHI06CA065,2006-01-12,"WEST BRANCH, MI",United States,44.244722,-84.179723,,,Non-Fatal,Substantial,Airplane,N8325H,PIPER,PA-28-161,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,25-04-2006,4.0,0.0,0.0,0.0,False,PIPER_PA-28-161
20060126X00126,Accident,CHI06CA066,2006-01-14,"HIBBING, MN",United States,47.386666,-92.839166,,,Non-Fatal,Substantial,Airplane,N76203,CESSNA,120,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,25-04-2006,1.0,0.0,0.0,0.0,False,CESSNA_120
20060209X00186,Accident,DEN06CA033,2006-01-17,"DENVER, CO",United States,39.908611,-105.116945,BJC,JEFFCO,Non-Fatal,Substantial,Airplane,N1322U,CESSNA,172M,No,1.0,Reciprocating,Part 91: General Aviation,Personal,,0.0,0.0,0.0,1.0,VMC,Standing,Probable Cause,25-04-2006,1.0,0.0,0.0,0.0,False,CESSNA_172M
20060223X00222,Accident,NYC06CA056,2006-01-21,"EAST KILLINGLY, CT",United States,41.855833,-71.817223,,,Non-Fatal,Substantial,Airplane,N32729,PIPER,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,Instructional,,0.0,2.0,0.0,0.0,VMC,Climb,Probable Cause,30-05-2006,2.0,0.0,1.0,1.0,False,PIPER_PA-28-140
